state,district,pincode,year,age_0_5,age_5_17,age_18_greater,total_enrollment,demo_age_5_17,demo_age_17_plus,total_demo_updates,bio_age_5_17,bio_age_17_plus,total_bio_updates,update_ratio,total_activities
Andaman And Nicobar Islands,South Andaman,744112,2025.0,1.0,0.0,0.0,1.0,13.0,35.0,48.0,79.0,52.0,131.0,131.0,180.0
Andaman And Nicobar Islands,South Andaman,744206,2025.0,7.0,1.0,0.0,8.0,7.0,82.0,89.0,350.0,210.0,560.0,70.0,657.0
Andaman And Nicobar Islands,South Andaman,744207,2025.0,4.0,1.0,0.0,5.0,3.0,97.0,100.0,602.0,328.0,930.0,186.0,1035.0
Andaman And Nicobar Islands,South Andaman,744211,2025.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,105.0,86.0,191.0,191.0,223.0
Andhra Pradesh,Adilabad,504001,2025.0,29.0,1.0,0.0,30.0,68.0,926.0,994.0,567.0,2112.0,2679.0,89.3,3703.0
Andhra Pradesh,Adilabad,504101,2025.0,3.0,0.0,0.0,3.0,14.0,99.0,113.0,103.0,167.0,270.0,90.0,386.0
Andhra Pradesh,Adilabad,504102,2025.0,5.0,0.0,0.0,5.0,13.0,69.0,82.0,141.0,303.0,444.0,88.8,531.0
Andhra Pradesh,Adilabad,504103,2025.0,10.0,3.0,0.0,13.0,75.0,609.0,684.0,454.0,1135.0,1589.0,122.23076923076923,2286.0
Andhra Pradesh,Adilabad,504104,2025.0,0.0,0.0,0.0,0.0,2.0,58.0,60.0,58.0,128.0,186.0,186.0,246.0
Andhra Pradesh,Adilabad,504105,2025.0,0.0,0.0,0.0,0.0,40.0,193.0,233.0,83.0,141.0,224.0,224.0,457.0
Andhra Pradesh,Adilabad,504106,2025.0,6.0,2.0,0.0,8.0,31.0,248.0,279.0,302.0,792.0,1094.0,136.75,1381.0
Andhra Pradesh,Adilabad,504109,2025.0,5.0,1.0,0.0,6.0,25.0,190.0,215.0,141.0,326.0,467.0,77.83333333333333,688.0
Andhra Pradesh,Adilabad,504110,2025.0,0.0,0.0,0.0,0.0,1.0,13.0,14.0,7.0,9.0,16.0,16.0,30.0
Andhra Pradesh,Adilabad,504201,2025.0,15.0,0.0,0.0,15.0,60.0,557.0,617.0,255.0,626.0,881.0,58.733333333333334,1513.0
Andhra Pradesh,Adilabad,504202,2025.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,2.0,2.0,5.0
Andhra Pradesh,Adilabad,504203,2025.0,6.0,1.0,0.0,7.0,22.0,149.0,171.0,240.0,466.0,706.0,100.85714285714286,884.0
Andhra Pradesh,Adilabad,504204,2025.0,4.0,1.0,0.0,5.0,19.0,170.0,189.0,148.0,444.0,592.0,118.4,786.0
Andhra Pradesh,Adilabad,504205,2025.0,4.0,1.0,0.0,5.0,55.0,425.0,480.0,174.0,518.0,692.0,138.4,1177.0
Andhra Pradesh,Adilabad,504206,2025.0,3.0,1.0,0.0,4.0,51.0,351.0,402.0,133.0,428.0,561.0,140.25,967.0
Andhra Pradesh,Adilabad,504207,2025.0,11.0,1.0,0.0,12.0,40.0,334.0,374.0,165.0,428.0,593.0,49.416666666666664,979.0
Andhra Pradesh,Adilabad,504208,2025.0,21.0,3.0,0.0,24.0,29.0,234.0,263.0,297.0,750.0,1047.0,43.625,1334.0
Andhra Pradesh,Adilabad,504209,2025.0,5.0,0.0,0.0,5.0,5.0,61.0,66.0,46.0,85.0,131.0,26.2,202.0
Andhra Pradesh,Adilabad,504214,2025.0,10.0,5.0,0.0,15.0,27.0,244.0,271.0,135.0,648.0,783.0,52.2,1069.0
Andhra Pradesh,Adilabad,504215,2025.0,17.0,3.0,0.0,20.0,48.0,428.0,476.0,198.0,600.0,798.0,39.9,1294.0
Andhra Pradesh,Adilabad,504216,2025.0,12.0,0.0,0.0,12.0,54.0,274.0,328.0,120.0,241.0,361.0,30.083333333333332,701.0
Andhra Pradesh,Adilabad,504218,2025.0,0.0,0.0,0.0,0.0,3.0,34.0,37.0,13.0,20.0,33.0,33.0,70.0
Andhra Pradesh,Adilabad,504219,2025.0,5.0,0.0,0.0,5.0,55.0,409.0,464.0,181.0,1099.0,1280.0,256.0,1749.0
Andhra Pradesh,Adilabad,504220,2025.0,1.0,0.0,0.0,1.0,1.0,14.0,15.0,4.0,10.0,14.0,14.0,30.0
Andhra Pradesh,Adilabad,504231,2025.0,16.0,1.0,0.0,17.0,22.0,212.0,234.0,178.0,509.0,687.0,40.411764705882355,938.0
Andhra Pradesh,Adilabad,504251,2025.0,9.0,4.0,0.0,13.0,107.0,838.0,945.0,281.0,1337.0,1618.0,124.46153846153847,2576.0
Andhra Pradesh,Adilabad,504272,2025.0,5.0,1.0,0.0,6.0,9.0,137.0,146.0,82.0,345.0,427.0,71.16666666666667,579.0
Andhra Pradesh,Adilabad,504273,2025.0,17.0,10.0,0.0,27.0,34.0,266.0,300.0,264.0,1115.0,1379.0,51.074074074074076,1706.0
Andhra Pradesh,Adilabad,504292,2025.0,6.0,3.0,0.0,9.0,26.0,232.0,258.0,119.0,402.0,521.0,57.888888888888886,788.0
Andhra Pradesh,Adilabad,504293,2025.0,9.0,6.0,0.0,15.0,43.0,551.0,594.0,271.0,673.0,944.0,62.93333333333333,1553.0
Andhra Pradesh,Adilabad,504294,2025.0,23.0,5.0,0.0,28.0,15.0,221.0,236.0,266.0,1204.0,1470.0,52.5,1734.0
Andhra Pradesh,Adilabad,504295,2025.0,14.0,8.0,0.0,22.0,20.0,443.0,463.0,130.0,567.0,697.0,31.681818181818183,1182.0
Andhra Pradesh,Adilabad,504296,2025.0,40.0,5.0,0.0,45.0,53.0,754.0,807.0,425.0,1602.0,2027.0,45.044444444444444,2879.0
Andhra Pradesh,Adilabad,504299,2025.0,44.0,11.0,0.0,55.0,114.0,1482.0,1596.0,733.0,2848.0,3581.0,65.10909090909091,5232.0
Andhra Pradesh,Adilabad,504301,2025.0,4.0,0.0,0.0,4.0,5.0,80.0,85.0,52.0,158.0,210.0,52.5,299.0
Andhra Pradesh,Adilabad,504302,2025.0,4.0,2.0,0.0,6.0,2.0,83.0,85.0,89.0,200.0,289.0,48.166666666666664,380.0
Andhra Pradesh,Adilabad,504303,2025.0,2.0,0.0,0.0,2.0,7.0,46.0,53.0,24.0,65.0,89.0,44.5,144.0
Andhra Pradesh,Adilabad,504304,2025.0,1.0,1.0,0.0,2.0,2.0,53.0,55.0,46.0,149.0,195.0,97.5,252.0
Andhra Pradesh,Adilabad,504306,2025.0,1.0,0.0,0.0,1.0,8.0,85.0,93.0,55.0,124.0,179.0,179.0,273.0
Andhra Pradesh,Adilabad,504307,2025.0,23.0,3.0,0.0,26.0,26.0,202.0,228.0,147.0,516.0,663.0,25.5,917.0
Andhra Pradesh,Adilabad,504308,2025.0,13.0,1.0,0.0,14.0,11.0,147.0,158.0,71.0,314.0,385.0,27.5,557.0
Andhra Pradesh,Adilabad,504309,2025.0,4.0,1.0,0.0,5.0,12.0,214.0,226.0,121.0,728.0,849.0,169.8,1080.0
Andhra Pradesh,Adilabad,504310,2025.0,0.0,1.0,0.0,1.0,7.0,51.0,58.0,75.0,91.0,166.0,166.0,225.0
Andhra Pradesh,Adilabad,504311,2025.0,12.0,8.0,0.0,20.0,47.0,624.0,671.0,387.0,1652.0,2039.0,101.95,2730.0
Andhra Pradesh,Adilabad,504312,2025.0,4.0,2.0,0.0,6.0,20.0,99.0,119.0,187.0,702.0,889.0,148.16666666666666,1014.0
Andhra Pradesh,Adilabad,504313,2025.0,33.0,6.0,0.0,39.0,62.0,533.0,595.0,334.0,791.0,1125.0,28.846153846153847,1759.0
Andhra Pradesh,Adilabad,504323,2025.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,3.0,3.0,3.0,8.0
Andhra Pradesh,Adilabad,504346,2025.0,12.0,3.0,0.0,15.0,8.0,120.0,128.0,117.0,505.0,622.0,41.46666666666667,765.0
Andhra Pradesh,Alluri Sitharama Raju,507111,2025.0,10.0,0.0,0.0,10.0,32.0,610.0,642.0,126.0,112.0,238.0,23.8,890.0
Andhra Pradesh,Alluri Sitharama Raju,507113,2025.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,507121,2025.0,3.0,1.0,0.0,4.0,2.0,63.0,65.0,96.0,88.0,184.0,46.0,253.0
Andhra Pradesh,Alluri Sitharama Raju,507126,2025.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,0.0,10.0,10.0,17.0
Andhra Pradesh,Alluri Sitharama Raju,507129,2025.0,10.0,3.0,0.0,13.0,51.0,333.0,384.0,301.0,159.0,460.0,35.38461538461539,857.0
Andhra Pradesh,Alluri Sitharama Raju,507134,2025.0,3.0,0.0,0.0,3.0,11.0,79.0,90.0,139.0,47.0,186.0,62.0,279.0
Andhra Pradesh,Alluri Sitharama Raju,507135,2025.0,2.0,0.0,0.0,2.0,8.0,56.0,64.0,112.0,133.0,245.0,122.5,311.0
Andhra Pradesh,Alluri Sitharama Raju,531024,2025.0,25.0,5.0,0.0,30.0,59.0,422.0,481.0,334.0,696.0,1030.0,34.333333333333336,1541.0
Andhra Pradesh,Alluri Sitharama Raju,531027,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0
Andhra Pradesh,Alluri Sitharama Raju,531029,2025.0,29.0,6.0,0.0,35.0,49.0,516.0,565.0,436.0,495.0,931.0,26.6,1531.0
Andhra Pradesh,Alluri Sitharama Raju,531030,2025.0,1.0,0.0,0.0,1.0,3.0,11.0,14.0,58.0,32.0,90.0,90.0,105.0
Andhra Pradesh,Alluri Sitharama Raju,531040,2025.0,38.0,3.0,2.0,43.0,64.0,737.0,801.0,515.0,726.0,1241.0,28.86046511627907,2085.0
Andhra Pradesh,Alluri Sitharama Raju,531077,2025.0,26.0,0.0,3.0,29.0,56.0,546.0,602.0,333.0,464.0,797.0,27.482758620689655,1428.0
Andhra Pradesh,Alluri Sitharama Raju,531084,2025.0,8.0,0.0,0.0,8.0,24.0,103.0,127.0,101.0,87.0,188.0,23.5,323.0
Andhra Pradesh,Alluri Sitharama Raju,531087,2025.0,12.0,1.0,0.0,13.0,27.0,173.0,200.0,277.0,201.0,478.0,36.76923076923077,691.0
Andhra Pradesh,Alluri Sitharama Raju,531105,2025.0,3.0,5.0,1.0,9.0,11.0,75.0,86.0,79.0,127.0,206.0,22.88888888888889,301.0
Andhra Pradesh,Alluri Sitharama Raju,531110,2025.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,15.0,4.0,19.0,19.0,24.0
Andhra Pradesh,Alluri Sitharama Raju,531111,2025.0,22.0,3.0,6.0,31.0,95.0,470.0,565.0,644.0,559.0,1203.0,38.806451612903224,1799.0
Andhra Pradesh,Alluri Sitharama Raju,531115,2025.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,3.0
Andhra Pradesh,Alluri Sitharama Raju,531116,2025.0,6.0,2.0,0.0,8.0,7.0,62.0,69.0,4.0,12.0,16.0,2.0,93.0
Andhra Pradesh,Alluri Sitharama Raju,531118,2025.0,5.0,3.0,0.0,8.0,14.0,45.0,59.0,130.0,169.0,299.0,37.375,366.0
Andhra Pradesh,Alluri Sitharama Raju,531133,2025.0,10.0,1.0,0.0,11.0,46.0,328.0,374.0,228.0,173.0,401.0,36.45454545454545,786.0
Andhra Pradesh,Alluri Sitharama Raju,531149,2025.0,7.0,0.0,0.0,7.0,29.0,355.0,384.0,396.0,380.0,776.0,110.85714285714286,1167.0
Andhra Pradesh,Alluri Sitharama Raju,531151,2025.0,20.0,1.0,1.0,22.0,12.0,65.0,77.0,388.0,328.0,716.0,32.54545454545455,815.0
Andhra Pradesh,Alluri Sitharama Raju,533284,2025.0,5.0,0.0,0.0,5.0,0.0,10.0,10.0,10.0,10.0,20.0,4.0,35.0
Andhra Pradesh,Alluri Sitharama Raju,533285,2025.0,3.0,0.0,0.0,3.0,12.0,29.0,41.0,7.0,8.0,15.0,5.0,59.0
Andhra Pradesh,Alluri Sitharama Raju,533286,2025.0,1.0,0.0,0.0,1.0,2.0,21.0,23.0,11.0,10.0,21.0,21.0,45.0
Andhra Pradesh,Alluri Sitharama Raju,533288,2025.0,13.0,2.0,1.0,16.0,76.0,338.0,414.0,587.0,873.0,1460.0,91.25,1890.0
Andhra Pradesh,Alluri Sitharama Raju,533295,2025.0,7.0,3.0,0.0,10.0,149.0,659.0,808.0,229.0,330.0,559.0,55.9,1377.0
Andhra Pradesh,Alluri Sitharama Raju,533339,2025.0,3.0,0.0,0.0,3.0,3.0,24.0,27.0,102.0,94.0,196.0,65.33333333333333,226.0
Andhra Pradesh,Alluri Sitharama Raju,533347,2025.0,0.0,2.0,0.0,2.0,1.0,41.0,42.0,78.0,39.0,117.0,58.5,161.0
Andhra Pradesh,Alluri Sitharama Raju,533348,2025.0,1.0,1.0,0.0,2.0,1.0,9.0,10.0,49.0,18.0,67.0,33.5,79.0
Andhra Pradesh,Alluri Sitharama Raju,533349,2025.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Andhra Pradesh,Alluri Sitharama Raju,533351,2025.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,3.0
Andhra Pradesh,Alluri Sitharama Raju,533352,2025.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,3.0
Andhra Pradesh,Alluri Sitharama Raju,533428,2025.0,2.0,0.0,0.0,2.0,7.0,57.0,64.0,184.0,169.0,353.0,176.5,419.0
Andhra Pradesh,Alluri Sitharama Raju,533429,2025.0,0.0,0.0,0.0,0.0,2.0,14.0,16.0,5.0,14.0,19.0,19.0,35.0
Andhra Pradesh,Alluri Sitharama Raju,533436,2025.0,7.0,1.0,0.0,8.0,81.0,698.0,779.0,170.0,218.0,388.0,48.5,1175.0
Andhra Pradesh,Alluri Sitharama Raju,533483,2025.0,7.0,2.0,0.0,9.0,48.0,292.0,340.0,191.0,323.0,514.0,57.111111111111114,863.0
Andhra Pradesh,Alluri Sitharama Raju,534315,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0,3.0
Andhra Pradesh,Alluri Sitharama Raju,535145,2025.0,6.0,0.0,0.0,6.0,11.0,42.0,53.0,225.0,392.0,617.0,102.83333333333333,676.0
Andhra Pradesh,Alluri Sitharama Raju,535273,2025.0,1.0,0.0,0.0,1.0,1.0,5.0,6.0,7.0,2.0,9.0,9.0,16.0
Andhra Pradesh,Anakapalli,517541,2025.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
Andhra Pradesh,Anakapalli,517640,2025.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
Andhra Pradesh,Anakapalli,530046,2025.0,2.0,0.0,0.0,2.0,5.0,12.0,17.0,1.0,3.0,4.0,2.0,23.0
Andhra Pradesh,Anakapalli,531001,2025.0,12.0,0.0,0.0,12.0,53.0,517.0,570.0,211.0,163.0,374.0,31.166666666666668,956.0
Andhra Pradesh,Anakapalli,531002,2025.0,6.0,0.0,0.0,6.0,16.0,86.0,102.0,16.0,15.0,31.0,5.166666666666667,139.0
Andhra Pradesh,Anakapalli,531011,2025.0,7.0,0.0,0.0,7.0,11.0,93.0,104.0,91.0,87.0,178.0,25.428571428571427,289.0
Andhra Pradesh,Anakapalli,531019,2025.0,1.0,0.0,0.0,1.0,42.0,297.0,339.0,27.0,30.0,57.0,57.0,397.0
Andhra Pradesh,Anakapalli,531020,2025.0,2.0,0.0,0.0,2.0,7.0,34.0,41.0,2.0,3.0,5.0,2.5,48.0
Andhra Pradesh,Anakapalli,531021,2025.0,1.0,0.0,0.0,1.0,39.0,238.0,277.0,43.0,43.0,86.0,86.0,364.0
Andhra Pradesh,Anakapalli,531022,2025.0,0.0,0.0,0.0,0.0,1.0,20.0,21.0,2.0,3.0,5.0,5.0,26.0
Andhra Pradesh,Anakapalli,531023,2025.0,2.0,0.0,0.0,2.0,4.0,26.0,30.0,4.0,1.0,5.0,2.5,37.0
Andhra Pradesh,Anakapalli,531025,2025.0,2.0,0.0,0.0,2.0,32.0,124.0,156.0,93.0,89.0,182.0,91.0,340.0
Andhra Pradesh,Anakapalli,531026,2025.0,1.0,0.0,0.0,1.0,22.0,88.0,110.0,42.0,33.0,75.0,75.0,186.0
Andhra Pradesh,Anakapalli,531027,2025.0,5.0,0.0,0.0,5.0,53.0,498.0,551.0,140.0,126.0,266.0,53.2,822.0
Andhra Pradesh,Anakapalli,531028,2025.0,5.0,0.0,0.0,5.0,13.0,52.0,65.0,41.0,39.0,80.0,16.0,150.0
Andhra Pradesh,Anakapalli,531030,2025.0,5.0,0.0,0.0,5.0,3.0,42.0,45.0,35.0,35.0,70.0,14.0,120.0
Andhra Pradesh,Anakapalli,531031,2025.0,2.0,0.0,0.0,2.0,20.0,219.0,239.0,101.0,141.0,242.0,121.0,483.0
Andhra Pradesh,Anakapalli,531032,2025.0,3.0,0.0,0.0,3.0,33.0,372.0,405.0,120.0,109.0,229.0,76.33333333333333,637.0
Andhra Pradesh,Anakapalli,531033,2025.0,3.0,0.0,0.0,3.0,7.0,72.0,79.0,6.0,14.0,20.0,6.666666666666667,102.0
Andhra Pradesh,Anakapalli,531034,2025.0,1.0,0.0,0.0,1.0,7.0,65.0,72.0,14.0,17.0,31.0,31.0,104.0
Andhra Pradesh,Anakapalli,531035,2025.0,10.0,0.0,0.0,10.0,44.0,262.0,306.0,113.0,145.0,258.0,25.8,574.0
Andhra Pradesh,Anakapalli,531036,2025.0,3.0,0.0,0.0,3.0,48.0,284.0,332.0,109.0,124.0,233.0,77.66666666666667,568.0
Andhra Pradesh,Anakapalli,531055,2025.0,5.0,0.0,1.0,6.0,254.0,1504.0,1758.0,185.0,139.0,324.0,54.0,2088.0
Andhra Pradesh,Anakapalli,531060,2025.0,4.0,0.0,0.0,4.0,4.0,39.0,43.0,3.0,5.0,8.0,2.0,55.0
Andhra Pradesh,Anakapalli,531061,2025.0,3.0,0.0,0.0,3.0,22.0,138.0,160.0,67.0,67.0,134.0,44.666666666666664,297.0
Andhra Pradesh,Anakapalli,531075,2025.0,2.0,0.0,0.0,2.0,0.0,18.0,18.0,2.0,3.0,5.0,2.5,25.0
Andhra Pradesh,Anakapalli,531081,2025.0,3.0,0.0,0.0,3.0,42.0,270.0,312.0,192.0,68.0,260.0,86.66666666666667,575.0
Andhra Pradesh,Anakapalli,531082,2025.0,0.0,0.0,0.0,0.0,3.0,29.0,32.0,1.0,1.0,2.0,2.0,34.0
Andhra Pradesh,Anakapalli,531083,2025.0,1.0,0.0,0.0,1.0,9.0,61.0,70.0,44.0,37.0,81.0,81.0,152.0
Andhra Pradesh,Anakapalli,531084,2025.0,1.0,0.0,0.0,1.0,4.0,81.0,85.0,45.0,33.0,78.0,78.0,164.0
Andhra Pradesh,Anakapalli,531085,2025.0,2.0,0.0,0.0,2.0,3.0,66.0,69.0,86.0,103.0,189.0,94.5,260.0
Andhra Pradesh,Anakapalli,531113,2025.0,9.0,0.0,0.0,9.0,49.0,397.0,446.0,103.0,132.0,235.0,26.11111111111111,690.0
Andhra Pradesh,Anakapalli,531114,2025.0,7.0,0.0,0.0,7.0,36.0,213.0,249.0,75.0,77.0,152.0,21.714285714285715,408.0
Andhra Pradesh,Anakapalli,531115,2025.0,4.0,0.0,0.0,4.0,12.0,65.0,77.0,42.0,34.0,76.0,19.0,157.0
Andhra Pradesh,Anakapalli,531116,2025.0,10.0,0.0,0.0,10.0,68.0,460.0,528.0,265.0,282.0,547.0,54.7,1085.0
Andhra Pradesh,Anakapalli,531117,2025.0,0.0,0.0,0.0,0.0,3.0,70.0,73.0,32.0,24.0,56.0,56.0,129.0
Andhra Pradesh,Anakapalli,531118,2025.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,1.0,1.0,2.0,2.0,7.0
Andhra Pradesh,Anakapalli,531126,2025.0,10.0,0.0,0.0,10.0,32.0,286.0,318.0,231.0,109.0,340.0,34.0,668.0
Andhra Pradesh,Anakapalli,531127,2025.0,3.0,1.0,0.0,4.0,3.0,41.0,44.0,28.0,17.0,45.0,11.25,93.0
Andhra Pradesh,Anakapalli,535183,2025.0,0.0,0.0,0.0,0.0,2.0,11.0,13.0,2.0,2.0,4.0,4.0,17.0
Andhra Pradesh,Anantapur,515001,2025.0,62.0,8.0,0.0,70.0,129.0,850.0,979.0,1408.0,2198.0,3606.0,51.51428571428571,4655.0
Andhra Pradesh,Anantapur,515002,2025.0,4.0,1.0,0.0,5.0,26.0,128.0,154.0,175.0,411.0,586.0,117.2,745.0
Andhra Pradesh,Anantapur,515003,2025.0,1.0,0.0,0.0,1.0,5.0,22.0,27.0,5.0,29.0,34.0,34.0,62.0
Andhra Pradesh,Anantapur,515004,2025.0,12.0,2.0,0.0,14.0,47.0,194.0,241.0,455.0,781.0,1236.0,88.28571428571429,1491.0
Andhra Pradesh,Anantapur,515101,2025.0,11.0,0.0,0.0,11.0,90.0,480.0,570.0,145.0,442.0,587.0,53.36363636363637,1168.0
Andhra Pradesh,Anantapur,515110,2025.0,11.0,0.0,0.0,11.0,40.0,179.0,219.0,187.0,512.0,699.0,63.54545454545455,929.0
Andhra Pradesh,Anantapur,515122,2025.0,9.0,0.0,0.0,9.0,59.0,593.0,652.0,284.0,496.0,780.0,86.66666666666667,1441.0
Andhra Pradesh,Anantapur,515123,2025.0,11.0,0.0,0.0,11.0,26.0,139.0,165.0,167.0,609.0,776.0,70.54545454545455,952.0
Andhra Pradesh,Anantapur,515124,2025.0,4.0,2.0,0.0,6.0,20.0,112.0,132.0,132.0,257.0,389.0,64.83333333333333,527.0
Andhra Pradesh,Anantapur,515133,2025.0,4.0,0.0,0.0,4.0,26.0,189.0,215.0,110.0,237.0,347.0,86.75,566.0
Andhra Pradesh,Anantapur,515134,2025.0,2.0,0.0,0.0,2.0,29.0,185.0,214.0,160.0,290.0,450.0,225.0,666.0
Andhra Pradesh,Anantapur,515144,2025.0,14.0,0.0,0.0,14.0,44.0,370.0,414.0,181.0,343.0,524.0,37.42857142857143,952.0
Andhra Pradesh,Anantapur,515154,2025.0,5.0,1.0,0.0,6.0,10.0,58.0,68.0,130.0,210.0,340.0,56.666666666666664,414.0
Andhra Pradesh,Anantapur,515159,2025.0,3.0,0.0,0.0,3.0,24.0,44.0,68.0,40.0,66.0,106.0,35.333333333333336,177.0
